AMH_1_1_12	AMH_1_2_10	AMH_2_1_12	AMH_2_2_12	BAN_1_1_12	BAN_1_2_10	BAN_2_1_10	BAN_2_2_10	BED_1_1_12	BED_1_2_10	BED_2_1_12	BED_2_2_10	BPL_1_1_10	BPL_1_2_12	BPL_2_1_10	BPL_2_2_12	BTT_1_1_12	BTT_1_2_10	BTT_2_1_12	BTT_2_2_12	CMP_1_1_10	CMP_1_2_12	CMP_2_1_10	CMP_2_2_10	CPI_1_1_12	CPI_1_2_10	CPI_2_1_12	CPI_2_2_12	CQC_1_1_10	CQC_1_2_12	CQC_2_1_10	CQC_2_2_10	Only identified by site	Reverse	Potential contaminant	ANOVA Significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	ANOVA p value	ANOVA q-value	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
4.928097E+07	6.070999E+07	3.715298E+07	3.319601E+07	5.192296E+07	4.381397E+07	3.1136E+07	4.861701E+07	2619507	6.467398E+07	3.3699E+07	3.828498E+07	2.4873E+07	2.951602E+07	3.252001E+07	2.834599E+07	2.824099E+07	3.240902E+07	3.050502E+07	2.333799E+07	9.148797E+07	1.505601E+08	6.8348E+07	4.945399E+07	2.192301E+07	2.615299E+07	2.5003E+07	2.513202E+07	6721400	2154095	4.077402E+07	5.694701E+07			+		3	3	3	10	10	10	38.418	0	56.26	839700000	76	0.103381946310877	0.102508700481303	CON__P12763	CON__P12763			
1.992999E+08	1.1587E+08	3.577298E+08	2.461499E+08	1.220101E+08	8.944405E+07	1.961801E+08	3.086799E+08	5.467601E+08	4.7556E+08	3.625698E+08	5.509397E+08	9.929502E+07	6.799704E+07	1.1854E+08	3.079099E+09	1.8508E+08	1.245801E+08	4.495398E+07	6.693103E+07	5.690803E+08	5.787098E+08	8.160704E+08	4.024E+08	4.846197E+07	9829998	1.152E+08	1.5703E+08	2.8907E+08	1.239E+09	3.963298E+08	3.6823E+08			+	+	28	27	23	45.5	44.4	39.8	59.51	0	323.31	7228600000	329	0.00743545663928133	0.0206978998384491	CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q7Z3Y8;CON__Q2M2I5;CON__A2AB72;CON__Q497I4;CON__O76015;CON__Q7Z3Y9	CON__P13645			
9030705	2054859	1.6765E+07	4327199	7423301	3760301	1763616	1659926	1.576099E+07	2499015	2.095799E+07	2.903701E+07	9094963	3139904	2914343	1.0174E+08	4711345	6629686	8821484	4070901	1.792001E+07	1.5421E+07	1.610601E+07	1.585001E+07	4078335	2454743	3773673	9339815	9413998	5.039098E+07	1.957299E+07	1.5671E+07			+		17	12	3	27.3	20.5	5.1	62.378	0	19.716	174840000	16	0.0664222371947227	0.0754176424668228	CON__P13647	CON__P13647			
2.563501E+08	3.533901E+08	7.799699E+08	3.2221E+08	2.511199E+08	2.965001E+08	2.041101E+08	4.463501E+08	9.891099E+08	5.8454E+08	8.8876E+08	1.2977E+09	2.236299E+08	1.8455E+08	1.765099E+08	7.541609E+09	3.741902E+08	1.774301E+08	3.135601E+07	9.471999E+07	5.2814E+08	8.604199E+08	8.351603E+08	6.0048E+08	2.328301E+08	5548101	3.1675E+08	4.362099E+08	8.004599E+08	9.937998E+08	6.874102E+08	9.163904E+08			+		32	32	31	60.4	60.4	60.4	62.129	0	323.31	14598000000	666	0.0587409045802608	0.0696685170499603	CON__P35527	CON__P35527			
8307302	4228764	4828802	1.0847E+07	7119902	2268705	7954700	1.4512E+07	2.280201E+07	2.6204E+07	1.675899E+07	3.121798E+07	4092990	1618627	6443203	3.8608E+07	7434104	7344298	7326813	3516527	2.840098E+07	1.932399E+07	5.644004E+07	1.696399E+07	3110913	2469407	2522583	7087201	1.2792E+07	3.657502E+07	1.6833E+07	1.500799E+07			+	+	32	30	1	57.6	55.7	4.7	65.432	0	296.84	225780000	32	0.00102272784078018	0.00779926199261993	CON__P35908v2	CON__P35908v2			
3236578	1.925501E+07	3430891	1.103464E+07	1410436	3020663	1294231	4982242	3130395	2.236199E+07	7757710	2005865	2693117	2377873	4642852	8603688	3064354	1.871701E+07	1.920599E+07	7672196	6395457	4972411	3851975	8323562	4287871	1540297	2.074965E+07	3767108	2079045	3801927	2010567	2841590			+		5	5	5	5.4	5.4	5.4	248.07	0	19.081	69887000	5	0.196451776566367	0.165857336956522	CON__Q5D862	CON__Q5D862			
2.710498E+08	1.9157E+08	2.3169E+08	2.698798E+08	1.764E+08	1.3031E+08	2.057501E+08	2.240999E+08	4.098599E+08	5.167301E+08	2746727	5.197399E+08	2108983	3204220	4.887001E+08	4.525901E+08	2096975	5.111902E+08	5.798004E+08	4075339	2.569901E+08	1.232427E+07	2.790599E+08	2.7194E+08	2.0929E+08	2.0984E+08	3.252199E+08	2.4026E+08	3.696298E+08	2.9908E+08	2.769799E+08	4.3653E+08			+		5	4	3	10.4	9	6.7	56.75	0.0037846	2.6268	5504500000	17	0.581796076517907	0.45288345752608	CON__Q6IME9	CON__Q6IME9			
1287900	1339301	2303800	797620.4	4846025	364030	1514501	663359.7	2543967	321660.1	487320.1	2309701	533869.9	4142146	229999.9	1.0267E+08	282850.1	3005319	7637131	3108011	3050954	2613623	464610	3160849	1299601	4196656	430950.1	3645525	406140.3	2073300	85452.97	2512740			+		11	11	11	9.9	9.9	9.9	282.39	0	22.606	83604000	15	0.888242264563538	0.785209594517419	CON__Q86YZ3	CON__Q86YZ3			
1.1209E+08	1.1222E+08	1.166701E+08	1.075E+08	1.2718E+08	1.4288E+08	9.291302E+07	9.197598E+07	9.597804E+07	8.967506E+07	8.296896E+07	1.049699E+08	9.053896E+07	8.037101E+07	1.2103E+08	1.194901E+08	1.0388E+08	1.0848E+08	1.5066E+08	1.4082E+08	1.455E+08	1.3179E+08	1.2214E+08	1.0951E+08	1.216001E+08	9.939602E+07	1.1743E+08	1.207001E+08	1.726699E+08	1.301501E+08	1.277499E+08	1.355201E+08				+	23	23	23	50.6	50.6	50.6	61.849	0	106.43	2831800000	311	0.0209958545358063	0.0368829493087558	O13297	O13297	mRNA-capping enzyme subunit beta	CET1	sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2
5306997	4771377	1.3909E+07	3872056	9991103	1.0138E+07	741552.3	7198098	9574599	1.0926E+07	7742003	8893995	6969797	7405598	7645303	8882103	9920094	1.0707E+07	7566499	8292302	9739601	6606902	1.055401E+07	4996721	1.2438E+07	6302047	1.0112E+07	6039498	1.6216E+07	5417959	1268864	3142046					4	4	4	10.6	10.6	10.6	65.318	0	31.063	151700000	27	0.604925536891857	0.4739216152019	O13329	O13329	DNA replication fork-blocking protein FOB1	FOB1	sp|O13329|FOB1_YEAST DNA replication fork-blocking protein FOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FOB1 PE=1 SV=2
7.100002E+07	8.451804E+07	7.316203E+07	6.412499E+07	6.0277E+07	6.627004E+07	6.4164E+07	5.836404E+07	5.940996E+07	6.264201E+07	5.946497E+07	7.027003E+07	5.441497E+07	4.606801E+07	5.775901E+07	4.714902E+07	7.891004E+07	9.751196E+07	8.860101E+07	9.177702E+07	1569900	4633537	1057300	968779.6	7.623995E+07	7.728402E+07	8.035805E+07	5.931398E+07	7.156101E+07	6280355	1.3274E+08	9.360805E+07				+	23	1	1	61.4	9.1	9.1	22.443	0	115.63	1582500000	44	5.64956617286065E-09	0.000635294117647059	O13516	O13516	40S ribosomal protein S9-A	RPS9A	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3
1.050001E+07	1.351801E+07	8939605	8847998	8808501	1850905	7966898	7213303	8164298	9473302	6150901	7377298	4251299	3178702	8503597	6359715	9151301	4954300	8301604	7316204	6957101	3428818	7011896	1.1857E+07	1.1456E+07	1.3205E+07	9765001	1.5473E+07	1.017632E+07	4021899	7258801	8467597					3	3	3	9.9	9.9	9.9	38.627	0.0020504	2.7097	196040000	18	0.0934999206604594	0.095492894540015	O13525	O13525	Ubiquinone biosynthesis protein COQ4, mitochondrial	COQ4	sp|O13525|COQ4_YEAST Ubiquinone biosynthesis protein COQ4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ4 PE=1 SV=2
9.561001E+07	8.696295E+07	1.087899E+08	9.0795E+07	1.1061E+08	1.1542E+08	1.0685E+08	1.372801E+08	1.0129E+08	1.019299E+08	8.052299E+07	7.531895E+07	6.935703E+07	6.072099E+07	4.7705E+07	6.209804E+07	7.123498E+07	7.829598E+07	5.889601E+07	7.863198E+07	1.855999E+08	1.974799E+08	1.306899E+08	1.1037E+08	1.007001E+08	9.196006E+07	4.540398E+07	6.786403E+07	2.710201E+08	2.716198E+08	9.248702E+07	1.435499E+08				+	10	10	10	41.8	41.8	41.8	30.299	0	28.461	2138700000	152	4.44319339731638E-05	0.00181504315659679	O13539	O13539	THO complex subunit THP2	THP2	sp|O13539|THP2_YEAST THO complex subunit THP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THP2 PE=1 SV=1
3.729298E+07	6713203	1.478099E+07	3.083699E+07	4.926598E+07	6.692502E+07	4.1066E+07	4.563502E+07	3.045601E+07	1.5318E+07	4.320202E+07	2.150001E+07	3.102001E+07	5.454902E+07	2.299901E+07	8.9951E+07	9.452897E+07	2.769199E+07	4.377998E+07	3.874698E+07	5.1901E+07	5.474198E+07	6.218998E+07	6.758396E+07	1.917301E+07	1935010	5.518298E+07	6.234301E+07	7.207297E+07	5.982803E+07	6.082399E+07	6.292098E+07					7	7	7	60.9	60.9	60.9	17.902	0	40.645	980170000	85	0.106183324295335	0.104289085545723	O13563	O13563	26S proteasome regulatory subunit RPN13	RPN13	sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1
9996798	9785200	1.177E+07	1.068801E+07	1.523E+07	2.697999E+07	1.2822E+07	1.9751E+07	2.5825E+07	2.044199E+07	2.109699E+07	3.686401E+07	1.0255E+07	4217324	1965789	2645781	5151252	6282282	6198985	4778270	5.769299E+07	5.300798E+07	3.569999E+07	3.350102E+07	5167971	8991902	3229871	1250899	4.935902E+07	5.812802E+07	1.6927E+07	2.9525E+07				+	4	4	4	43.6	43.6	43.6	15.165	0	9.6965	278060000	33	6.44419942378717E-08	0.000591439688715953	O13577	O13577	Damage-regulated import facilitator 1	DIF1	sp|O13577|DIF1_YEAST Damage-regulated import facilitator 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIF1 PE=1 SV=1
3.681599E+07	3.428102E+07	4.548202E+07	3.958098E+07	5.771702E+07	3.117901E+07	3.403301E+07	4.027502E+07	3.763001E+07	5.0577E+07	2.804599E+07	3.062499E+07	5.6823E+07	2.200801E+07	7.381805E+07	1.3439E+07	1.984399E+07	4.8311E+07	1.710499E+07	1.7361E+07	7.724703E+07	5.628199E+07	4.386202E+07	4.202102E+07	3.463E+07	3.883098E+07	2.828101E+07	1.572099E+07	8.766097E+07	6.507099E+07	3.650102E+07	3.513799E+07					7	7	7	11.4	11.4	11.4	102.58	0	16.701	895040000	49	0.143238253155366	0.129487288135593	O13585	O13585	Dilute domain-containing protein YPR089W		sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2
3.128802E+07	7.562598E+07	5.6782E+07	8.180797E+07	6.347803E+07	9.478501E+07	1.7351E+08	7.841895E+07	5.888402E+07	6.422001E+07	5.152702E+07	8.431102E+07	4.943098E+07	4.6505E+07	5.261301E+07	3.771199E+07	1.530701E+07	5.421398E+07	2.3937E+07	7.305002E+07	9.369497E+07	8.559101E+07	7.883298E+07	8.046202E+07	7.694299E+07	1.3819E+07	8.248402E+07	7.094297E+07	9.891099E+08	1.0502E+08	8.075605E+07	7.8669E+07					12	12	3	64	64	22	11.135	0	323.31	1925500000	82	0.058988513898406	0.0698890649762282	O14455	O14455	60S ribosomal protein L36-B	RPL36B	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3
4.502303E+09	4.167402E+09	5.877893E+09	4.739996E+09	5.964204E+09	6.444897E+09	5.391206E+09	7.143302E+09	6.031605E+09	5.710903E+09	4.2661E+09	5.800495E+09	4.395704E+09	4.390698E+09	4.714397E+09	3.405601E+09	5.193196E+09	5.218495E+09	5.004005E+09	5.630193E+09	1.105301E+10	9.336208E+09	6.602308E+09	6.573096E+09	4.288601E+09	3.5668E+09	4.219398E+09	3.457999E+09	1.056999E+10	1.3369E+10	4.605199E+09	7.472592E+09				+	19	19	19	74.2	74.2	74.2	16.403	0	302.34	120860000000	622	0.000164341141612522	0.00317466802860061	O14467	O14467	Multiprotein-bridging factor 1	MBF1	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2
1.3109E+07	1.555601E+07	2.348601E+07	1.948399E+07	1.46E+07	2.085101E+07	1.907201E+07	1.682499E+07	1.4258E+07	1.628399E+07	1.789901E+07	2.092801E+07	1.669001E+07	1.219501E+07	1.7321E+07	7691696	1.590599E+07	4936144	1.517501E+07	1.4109E+07	2.915001E+07	1.654501E+07	2.442499E+07	3.369402E+07	1.0629E+07	1.227199E+07	1.124501E+07	1.1648E+07	6.781802E+07	5.9901E+07	1.879701E+07	3.262302E+07				+	3	3	3	28.9	28.9	28.9	8.6174	0.00060976	3.5126	392320000	30	0.000589887916426487	0.0061085020242915	O14468	O14468	Uncharacterized protein YOR304C-A	YOR304C-A	sp|O14468|YO304_YEAST Uncharacterized protein YOR304C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOR304C-A PE=1 SV=1
6.973999E+07	1.1354E+08	1.651E+08	1.5692E+08	1.3829E+08	1.4126E+08	1.826699E+08	1.9415E+08	9.742305E+07	1.467701E+08	1.2401E+08	1.5552E+08	7.822098E+07	8.378998E+07	1.0504E+08	9.633195E+07	1.8415E+08	1.486701E+08	1.3283E+08	8.984202E+07	3.617199E+08	3.241099E+08	2.275E+08	2.6877E+08	9.851699E+07	1.060401E+08	1.343299E+08	1.331001E+08	1.9263E+08	2.210599E+08	1.142101E+08	2.012E+08				+	6	6	6	50.6	50.6	50.6	9.4044	0	28.226	3395800000	190	5.062171191773E-05	0.0019126213592233	O43137	O43137	Uncharacterized protein YBR085C-A	YBR085C-A	sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1
2.631701E+07	3.813898E+07	4.840997E+07	4.473403E+07	4.715501E+07	4.271699E+07	3.418602E+07	4.634701E+07	2.53E+07	1.983599E+07	2.3615E+07	3.2725E+07	2.372299E+07	2.390999E+07	3.038202E+07	2.061201E+07	2.9512E+07	3.7544E+07	4.244598E+07	3.283799E+07	5.4102E+07	4.244901E+07	6.9178E+07	5.471297E+07	3.5117E+07	3.5694E+07	4.6572E+07	3.0902E+07	9.504502E+07	8.199204E+07	6.2441E+07	8.062398E+07				+	3	3	3	24.4	24.4	24.4	9.7119	0	7.7141	906360000	92	8.66406389497394E-08	0.000550724637681159	O60200	O60200	Mitochondrial distribution and morphology protein 35	MDM35	sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3
4.278498E+08	4.732401E+08	4.949003E+08	4.846902E+08	6.848503E+08	7.774599E+08	4.806102E+08	6.130701E+08	4.270203E+08	4.306698E+08	4.5893E+08	9.078804E+08	2.937801E+08	2.617201E+08	3.434698E+08	2.461802E+08	3.373502E+08	3.418801E+08	4.759903E+08	4.649098E+08	6.779103E+08	6.442402E+08	9.537001E+08	9.313698E+08	5.056897E+08	4.6412E+08	6.818797E+08	5.797697E+08	1.0623E+09	7.825004E+08	6.445903E+08	9.897299E+08				+	7	7	7	47.1	47.1	47.1	10.202	0	110.37	11632000000	260	2.57621061574037E-06	0.000623481781376518	O74700	O74700	Mitochondrial import inner membrane translocase subunit TIM9	TIM9	sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1
1.746099E+08	1.736899E+08	2.5093E+08	2.522599E+08	2.021401E+08	2.4517E+08	1.9714E+08	3.418701E+08	2.481699E+08	2.603201E+08	2.815901E+08	3.554199E+08	1.4546E+08	1.2177E+08	1.0576E+08	9.000596E+07	2.395099E+08	1.9143E+08	1.997901E+08	1.540401E+08	5.4258E+08	4.0204E+08	4.0024E+08	4.046802E+08	1.770601E+08	1.661601E+08	2.043599E+08	1.67E+08	5.127897E+08	4.335903E+08	2.298299E+08	4.2902E+08				+	4	4	4	76.4	76.4	76.4	10.386	0	159.5	6090600000	217	1.03061777270466E-07	0.000555160142348754	O94742	O94742	26S proteasome complex subunit SEM1	SEM1	sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1
8.6766E+08	7.5575E+08	8.879297E+08	9.142799E+08	6.849499E+08	5.488503E+08	7.980095E+08	6.699096E+08	1.018399E+09	9.315902E+08	8.423102E+08	7.810596E+08	3.914401E+08	3.1351E+08	5.149202E+08	5.190999E+08	6.5742E+08	4.7317E+08	7.298504E+08	7.585297E+08	5.257998E+08	7.227496E+08	6.028799E+08	5.961398E+08	8.760698E+08	9.981398E+08	1.1052E+09	9.651999E+08	4.612603E+08	1.033201E+09	9.382003E+08	8.618897E+08				+	10	10	8	66.1	66.1	49.5	12.182	0	323.31	17446000000	379	8.82845101633318E-05	0.00241077441077441	P00044	P00044	Cytochrome c iso-1	CYC1	sp|P00044|CYC1_YEAST Cytochrome c isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2
2037276	3918875	3126999	3989030	2770777	2246499	3534841	3632602	3779340	5073365	3264878	2112884	9492610	4867297	4633899	2597230	2.263501E+07	2.393302E+07	2152148	3048200	8155495	5419198	6442198	6328296	3983702	2650501	3255899	3802198	2197766	3733517	1622599	9429356					3	1	1	25.7	9.7	9.7	12.532	0.0037956	2.6567	81218000	8	0.223189896392336	0.183938399732173	P00045	P00045	Cytochrome c iso-2	CYC7	sp|P00045|CYC7_YEAST Cytochrome c isoform 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC7 PE=1 SV=1
9851400	1.228899E+07	1.508699E+07	1.5711E+07	1.5373E+07	1.929099E+07	3.476702E+07	4.0492E+07	1850061	4502596	2305293	3493857	1.2505E+07	1.1445E+07	9781294	3209545	1294309	2410736	3521594	2055641	3.870899E+07	4.074401E+07	3.196701E+07	5.016001E+07	4748690	6931698	1.0573E+07	8368802	9372904	2.898002E+07	9941403	1.5157E+07				+	1	1	1	14.3	14.3	14.3	17.257	0	15.592	277950000	25	4.16842313797259E-09	0.000617283950617284	P00127	P00127	Cytochrome b-c1 complex subunit 6	QCR6	sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2
1.306999E+09	1.446201E+09	2.2087E+09	2.024201E+09	2.4371E+09	2.468199E+09	2.585701E+09	3.322898E+09	2.187399E+09	2.226599E+09	2.076301E+09	2.555201E+09	4.4435E+08	4.612499E+08	5.2196E+08	5.341699E+08	1.0413E+09	9.585706E+08	1.291299E+09	1.1859E+09	4.094699E+09	3.732899E+09	3.243401E+09	3.561701E+09	1.4493E+09	1.357401E+09	1.588601E+09	1.707099E+09	3.582102E+09	4.890103E+09	2.482099E+09	3.792599E+09				+	12	12	12	89.8	89.8	89.8	14.565	0	323.31	42166000000	543	3.85386087324642E-14	0	P00128	P00128	Cytochrome b-c1 complex subunit 7	QCR7	sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2
